"TABLE_SCHEMA","TABLE_NAME","TABLE_ROWS","data_length/1024/1024/1024","index_length/1024/1024/1024","data_free/1024/1024/1024","COLUMN_NAME","COLUMN_COMMENT","ORDINAL_POSITION","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","COLUMN_TYPE"
research,question_answer_instance,300157300,48.867187500000,52.194168090820,0.004882812500,answer,答案,6,YES,text,65535,text
message_data,mess_station_letter,31725471,5.624984741211,1.314422607422,0.003906250000,content,内容,14,NO,text,65535,text
research,sample,11062685,8.110290527344,3.425369262695,0.003906250000,migrate_extend_info,"1.0迁移样本扩展信息",54,YES,text,65535,text
research,sample_review_record,7086862,1.381835937500,0.681640625000,0.003906250000,sample_snapshot,样本快照,9,YES,text,65535,text
import,imps_data_record,4397910,3.384765625000,0.503890991211,0.005859375000,request_data,请求数据体,4,YES,text,65535,text
import,imps_data_record,4397910,3.384765625000,0.503890991211,0.005859375000,response_data,返回数据体,5,YES,text,65535,text
content_data,cons_first_review,1849842,0.306518554688,0.114532470703,0.004882812500,content,评论内容,7,YES,text,65535,text
dzjetl,question_id_insert,1301144,0.197006225586,0.000000000000,0.006835937500,answer,"",2,YES,text,65535,text
user_data,uses_doctor_info,1080748,0.253494262695,0.186737060547,0.031250000000,disease,擅长疾病,12,YES,text,65535,text
user_data,uses_doctor_info,1080748,0.253494262695,0.186737060547,0.031250000000,introduce,个人简介,20,YES,text,65535,text
auth,auts_certification_record,1080648,0.128585815430,0.039672851563,0.006835937500,certification_info,认证信息,8,YES,json,,json
live_video,lvs_comment,1026554,0.221466064453,0.149841308594,0.005859375000,content,评论内容,5,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,answer,病例解答，与病例问题用json存储,4,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,medic_essential,医学要点,8,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,diagnostic_basis,诊断依据,13,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,nurse_point,护理要点,15,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,medication_experience,用药经验,16,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,drug_point,药学知识要点,17,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,diagnostic_opinion,诊断意见,18,YES,text,65535,text
case_data,cass_case_answer,945067,0.413085937500,0.037689208984,0.003906250000,diagnostic_thinking,诊断思路,19,YES,text,65535,text
questionnaire,ques_questionnaire_instance,932655,0.257446289063,0.233932495117,0.006835937500,result,测评提示信息,11,YES,text,65535,text
live_video,lvs_child_comment,783611,0.253723144531,0.129791259766,0.003906250000,content,评论内容,4,YES,text,65535,text
message_data,mess_record,543748,0.124679565430,0.020095825195,0.006835937500,content,内容,10,NO,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,symptoms,主诉,8,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,part_history,既往史,10,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,personal_history,个人史,11,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,family_history,家族史,13,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,answer_part,疑点问题解答json数据,15,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,doubt_part,疑难问题json数据,17,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,disease_desc_url,病情描述图片,18,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,treatment_method_url,诊疗方法图片,19,YES,text,65535,text
case_data,cass_case_western_medicine_clinical_practice,543171,0.535156250000,0.029907226563,0.003906250000,case_desc,病例描述,20,YES,text,65535,text
